timestamp,roll,pitch,yaw
1529289941603556,-0.888994,-1.28312,-2.36192
1529289941625497,-0.887434,-1.28321,-2.36581
1529289941640457,-0.88745,-1.28357,-2.36917
1529289941665390,-0.886475,-1.28366,-2.37283
1529289941685337,-0.886051,-1.28391,-2.37577
1529289941700299,-0.885403,-1.2841,-2.37849
1529289941724234,-0.88461,-1.28398,-2.38066
1529289941755151,-0.884197,-1.28405,-2.38281
1529289941764127,-0.884184,-1.28417,-2.38447
1529289941785071,-0.88455,-1.28447,-2.3861
1529289941807011,-0.88446,-1.28417,-2.38733
1529289941828956,-0.885669,-1.28417,-2.38814
1529289941843913,-0.886645,-1.2841,-2.38872
1529289941879818,-0.887368,-1.28364,-2.3891
1529289941890787,-0.888725,-1.28333,-2.38924
1529289941903753,-0.890442,-1.28315,-2.38972
1529289941926692,-0.893169,-1.28262,-2.38916
1529289941940655,-0.897271,-1.28191,-2.38752
1529289941964591,-0.903019,-1.2813,-2.38457
1529289941985536,-0.908154,-1.28013,-2.38207
1529289942002489,-0.913608,-1.27849,-2.37844
1529289942025427,-0.919256,-1.27661,-2.37385
1529289942046372,-0.924455,-1.27507,-2.37009
1529289942062329,-0.930132,-1.27399,-2.36682
1529289942085268,-0.935188,-1.27268,-2.36337
1529289942107210,-0.938335,-1.27199,-2.36109
1529289942122171,-0.940303,-1.27146,-2.35922
1529289942145144,-0.942572,-1.27043,-2.35662
1529289942166052,-0.951208,-1.26756,-2.3478
1529289942182009,-0.965076,-1.26286,-2.32897
1529289942204948,-0.981531,-1.25673,-2.30593
1529289942225892,-0.99883,-1.2437,-2.28614
1529289942242847,-1.02788,-1.22401,-2.26395
1529289942264788,-1.06772,-1.20066,-2.2376
1529289942285732,-1.10945,-1.17263,-2.21211
1529289942302687,-1.14688,-1.14026,-2.18801
1529289942324629,-1.17657,-1.10297,-2.16479
1529289942345612,-1.20428,-1.05782,-2.14068
1529289942362527,-1.22819,-1.00453,-2.115
1529289942384495,-1.25088,-0.939788,-2.08422
1529289942406410,-1.26808,-0.861399,-2.05322
1529289942421370,-1.27223,-0.769413,-2.0279
1529289942445307,-1.2681,-0.66315,-2.01156
1529289942466285,-1.26765,-0.543212,-1.99653
1529289942481212,-1.2728,-0.413826,-1.97966
1529289942505147,-1.28051,-0.279707,-1.96053
1529289942526092,-1.28227,-0.14351,-1.93865
1529289942542048,-1.27175,-0.00940703,-1.91246
1529289942564987,-1.24608,0.115018,-1.88333
1529289942587925,-1.21297,0.227475,-1.85406
1529289942601888,-1.178,0.327939,-1.82506
1529289942624826,-1.14031,0.416819,-1.79338
1529289942647766,-1.10154,0.492103,-1.7583
